timestamp,battery_percent,power_plugged,cpu_usage_percent,memory_usage_percent
2026-01-27 14:44:26,57,0,68.6,75.4
2026-01-27 14:44:37,57,0,50.3,74.4
2026-01-27 14:44:48,57,0,23.6,75.7
2026-01-27 14:44:59,57,0,16.7,75.7
2026-01-27 14:45:10,56,0,37.1,74.5
2026-01-27 14:45:21,56,0,18.3,74.6
2026-01-27 14:45:32,56,0,32.4,75.8
2026-01-27 14:45:43,56,0,12.4,74.7
2026-01-27 14:45:54,56,0,21.9,74.8
2026-01-27 14:46:05,56,0,20.7,74.6
2026-01-27 14:46:16,56,0,39.2,75.5
2026-01-27 14:46:27,56,0,13.3,75.5
2026-01-27 14:46:38,56,0,20.9,75.2
2026-01-27 14:46:49,55,0,15.4,75.3
2026-01-27 14:47:00,55,0,18.3,75.5
2026-01-27 14:47:11,55,0,20.3,75.7
2026-01-27 14:47:22,55,0,20.7,75.5
2026-01-27 14:47:33,55,0,15.6,75.1
2026-01-27 14:47:44,55,0,16.5,74.9
2026-01-27 14:47:55,55,0,24.0,74.8
2026-01-27 14:48:06,55,0,12.1,75.0
2026-01-27 14:48:17,55,0,13.9,74.6
2026-02-24 13:45:55,88,0,14.4,65.9
2026-02-24 13:46:06,88,0,6.7,65.6
2026-02-24 13:46:17,88,0,6.8,65.8
2026-02-24 13:46:28,87,0,33.5,67.1
2026-02-24 13:46:39,87,0,9.6,64.5
2026-02-24 13:46:50,87,0,15.9,64.3
2026-02-24 13:47:01,87,0,6.1,64.5
2026-02-24 13:47:12,87,0,10.2,65.2
2026-02-24 13:47:23,87,0,35.1,65.9
2026-02-24 13:47:34,87,0,19.1,66.6
2026-02-24 13:47:45,87,0,30.1,66.2
2026-02-24 13:47:56,87,0,13.7,67.3
2026-02-24 13:48:07,87,0,42.5,67.2
2026-02-24 13:48:18,86,0,46.0,68.5
2026-02-24 13:48:29,86,0,29.0,68.9
2026-02-24 13:48:40,86,0,38.1,69.3
2026-02-24 13:48:51,86,0,5.3,68.5
